Name, invitation link, latest update
CAFI/FAO DDD 1, `bqd6lre <https://classroom.google.com/c/MjUzNTQ0NzA5MjMx?cjc=bqd6lre>`_, 2021-03-10
CAFI/FAO DDD 2, `hz4cir7 <https://classroom.google.com/c/MjY1OTE1Njk0NzQy?cjc=hz4cir7>`_, 2021-03-10
CAFI/FAO DDD 3, `tmnhu5n <https://classroom.google.com/c/MjY1OTMwNzI5MTIw?cjc=tmnhu5n>`_, 2021-03-10
CAFI/FAO DDD 4, `sogsgur <https://classroom.google.com/c/MjY1OTUwNjIxNjQz?cjc=sogsgur>`_, 2021-03-10
