Name, invitation link, latest update
FR - INTRO LCCS, `kcjixvl <https://classroom.google.com/c/MjkyMDUzMjQ1NjYx?cjc=kcjixvl>`_, 2021-03-10
FR - SEPAL Intro, `nulscve <https://classroom.google.com/c/Mjk5OTgyNDYxODUz?cjc=nulscve>`_, 2021-17-03
FR - SEPAL Classification, `ru5poucW <https://classroom.google.com/c/MzEyOTM0ODA5OTM3?cjc=ru5poucW>`_, 2021-04-06
FR - BFAST, `qglmz6t <https://classroom.google.com/c/MzQxMTU2MDAwNzU4?cjc=qglmz6t>`_, 
FR - SEPAL Classification, `ru5pouc <https://classroom.google.com/c/MzEyOTM0ODA5OTM3?cjc=ru5pouc>`_, 
FR- COLLECT EARTH, `ij7g2yc <https://classroom.google.com/c/MzA3NjUwOTk1MDg3?cjc=ij7g2yc>`_,
FR - SEPAL MOSAIQUES, `nl4xkb6 <https://classroom.google.com/c/MzAxNjkyNDY3NjU3?cjc=nl4xkb6>`_,
