Name, invitation link, latest update
EN - SEPAL Intro, `4tbespz <https://classroom.google.com/c/Mjc2NDEwMDg5ODQ0?cjc=4tbespz>`_, 2021-03-04
EN - INTRO GEE, `s5eig5x <https://classroom.google.com/c/Mjk1MzEyNzE3NjQ2?cjc=s5eig5x>`_, 2021-03-10
EN - COLLECT EARTH, `a3gwmwj <https://classroom.google.com/c/Mjc2NDEyNTE4NDg1?cjc=a3gwmwj>`_, 2021-03-11
EN - BFAST, `urwaafh <https://classroom.google.com/c/MjgzMDcyNzQ0MDg3?cjc=urwaafh>`_, 2021-03-11,
EN - CCDC, `tsiaxis <https://classroom.google.com/c/MzAxNjAzNzkzMTU1?cjc=tsiaxis>`_, 2021-03-22
